cn,pr,pf,link,inst,plink,rating,tags
Introduction to Networking and Storage,0,Coursera,https://www.coursera.org/learn/introduction-to-networking-and-storage,IBM,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ec/4a8a8dcb5d479b8929b4dc671640eb/Intro-to-Networking-Temp-no-watermark-.png?auto=format%2Ccompress&dpr=1&w=330&h=330&fit=fill&q=25,4.7,Computer Network
JAVA Programming OOPS and Core,2499,Udemy,https://www.udemy.com/course/core-java-and-oops-for-java-developers/,AcroTop Demy,https://img-c.udemycdn.com/course/240x135/4988522_48d2_2.jpg,4.4,OOPS
NOC:Introduction To Internet Of Things,0,NPTEL,https://nptel.ac.in/courses/106105166,Prof. Sudip Misra,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Robotics ,0,Coursera,https://www.coursera.org/learn/robotics1,National Taiwan University,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/8f/2f987023ea11e79e3b7d32a3d2ea51/ROBOTICS.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,4.7,Robotics
Automate the Boring Stuff with,3399,Udemy,https://www.udemy.com/course/automate/,Al Sweigart,https://img-c.udemycdn.com/course/240x135/543600_64d1_4.jpg,4.7,Development
Cybersecurity for Business,0,Coursera,https://www.coursera.org/specializations/cyber-security-business,University of Colorado System,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0c/1305a07ad711e7bf202b86e9d12272/logo.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=265&h=216,4.7,Cyber Security
IoT Application Development with the,3099,Udemy,https://www.udemy.com/course/iot-application-development-with-the-esp32-using-the-esp-idf/,Kevin Aguilar,https://img-c.udemycdn.com/course/240x135/4384130_f1b5_4.jpg,4.5,IoT
The Complete Visual Guide to,799,Udemy,https://www.udemy.com/course/visual-guide-to-machine-learning/,Maven Analytics Chris Dutton Joshua MacCarty,https://img-c.udemycdn.com/course/240x135/5190450_bd9e_3.jpg,4.8,Machine Learning
Cybersecurity,0,Coursera,https://www.coursera.org/specializations/cyber-security,University of Maryland College Park,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/9e/914690c15511e5b8ef55bf49294387/logo_small.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,Cyber Security
NOC:Systems And Usable Security,0,NPTEL,https://nptel.ac.in/courses/106106234,Prof. Neminath Hubballi,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
NOC:Compiler Design,0,NPTEL,https://nptel.ac.in/courses/106105190,Prof. Santanu Chattopadhyay,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Meta Back-End Developer,0,Coursera,https://www.coursera.org/professional-certificates/meta-back-end-developer,Meta,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1e/d2f5a0dc494722980faf74d9fa8fc8/Back-end-dev-ProCert.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.7,Development
Data Structure & Algorithm using,3199,Udemy,https://www.udemy.com/course/data-structures-algorithms-using-c-zero-to-mastery/,Ankit Thakran Harsh Kajla,https://img-b.udemycdn.com/course/240x135/3029640_0dc7_4.jpg,4.4,Data Structure and Algorithm
Learn Linux administration and linux,3199,Udemy,https://www.udemy.com/course/learn-linux-administration-and-linux-command-line-skills/,Kashif Ali,https://img-c.udemycdn.com/course/240x135/2421042_3709_3.jpg,4.6,Operating System
Linux Command Line Basics This,3199,Udemy,https://www.udemy.com/course/linux-command-line-volume1/,Ahmed Alkabary Bandar Alghaleb,https://img-c.udemycdn.com/course/240x135/95246_69f4_23.jpg,4.5,Operating System
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,0,Coursera,https://www.coursera.org/learn/wharton-cryptocurrency-blockchain-introduction-digital-currency,University of Pennsylvania,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/df/e1ae1aa03748de9a2d029bfdbbe472/finTech_cryptocurrency_coursera.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.6,Blockchain Technology
MERN Full Stack Web Development,3999,GeeksforGeeks,https://practice.geeksforgeeks.org/courses/mern-full-stack-development-classroom,Gaurav Raj,https://media.geeksforgeeks.org/img-practice/banner/mern-full-stack-development-classroom-thumbnail.png?v=19545,0,Development
NOC:Information Security - IV,0,NPTEL,https://nptel.ac.in/courses/106106178,Prof. V. Kamakoti Prof.M J Shankar Raman Prof.Vasan,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
AI For Everyone,0,Coursera,https://www.coursera.org/learn/ai-for-everyone,DeepLearning.AI,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b4/5cb90bb92f420b99bf323a0356f451/Icon.png?auto=format%2Ccompress&dpr=1&w=25&h=25&q=40,4.8,Machine Learning 
NOC:Computer Architecture(Course Sponsored By Aricent),0,NPTEL,https://nptel.ac.in/courses/106106134,Prof.Madhu Mutyam,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Microsoft Cybersecurity Analyst,0,Coursera,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,Microsoft,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/9b/a870c38e6549769853ebcb38e52b08/Microsoft-Cyber-Thumbnail.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&w=265&h=216,0,Cyber Security
Combinatorics,0,NPTEL,https://nptel.ac.in/courses/106108051,Dr. L. Sunil Chandran,https://assets.thehansindia.com/h-upload/2021/01/20/1025790-nptel.webp,0,Miscellaneous
Object Oriented Programming ,0,Coursera,https://www.coursera.org/specializations/object-oriented-programming-s12n,University of London,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/531ed6ee67466280fbbaa4a9073938/Crypto-Mooc.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,5,OOPS
La Disrupción del Blockchain,0,Coursera,https://www.coursera.org/learn/blockchain-espanol,Universidad Austral,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/73/7253400a6f11e88774752a13d126b6/WEB_1b.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,4.8,Blockchain Technology
